id,value,feed_id,created_at,lat,lon,ele
0F395AXFWJ016H506012N1MM6Z,28.18,2301481,2022-08-15 10:34:13 UTC,,,
0F395BFS6FV2FNKMPX17PJ71V1,28.2,2301481,2022-08-15 10:35:13 UTC,,,
0F395C22E9FX1S7BJHC4EXYXX6,28.23,2301481,2022-08-15 10:36:13 UTC,,,
0F395CMGHY0E2PFPHJNWDR9WEZ,28.24,2301481,2022-08-15 10:37:13 UTC,,,
0F395D6S2A5ZNJYVJ23G0XFNWP,28.27,2301481,2022-08-15 10:38:13 UTC,,,
0F395DS2NH9FCHWF8SPXFB5FWB,28.27,2301481,2022-08-15 10:39:13 UTC,,,
0F395EBBBK1Y8ACNJD2S5SCKFA,28.28,2301481,2022-08-15 10:40:13 UTC,,,
0F395EXMF8Y93P5S6T7C126X5G,28.28,2301481,2022-08-15 10:41:13 UTC,,,
0F395FG2JKDA7X71DC8WZBFVZG,28.25,2301481,2022-08-15 10:42:13 UTC,,,
0F395G2BK9RX17D28413FJ9QVQ,28.25,2301481,2022-08-15 10:43:13 UTC,,,
0F395GMMG6FT0A8MFV606GPKH7,28.23,2301481,2022-08-15 10:44:13 UTC,,,
0F395H6XTMPW9HVRQ4B31DNH0F,28.22,2301481,2022-08-15 10:45:13 UTC,,,
0F395HSBF3FFSDFZFXMAWP9QT7,28.24,2301481,2022-08-15 10:46:13 UTC,,,
0F395JBMYZSSPZ219FFYAYGTS7,28.24,2301481,2022-08-15 10:47:13 UTC,,,
0F395JYCWD81N9MCQ51VVPDMY1,28.26,2301481,2022-08-15 10:48:15 UTC,,,
0F395KG6VZF8ET3GMMHG0VTSYN,28.28,2301481,2022-08-15 10:49:13 UTC,,,
0F395M2FP814Z7W0CCVX0SNPC3,28.26,2301481,2022-08-15 10:50:13 UTC,,,
0F395MMXSQJQXXAQM26XWS50QE,28.26,2301481,2022-08-15 10:51:13 UTC,,,
0F395N76Z1G8KE7Z2SV0M7FA68,28.29,2301481,2022-08-15 10:52:13 UTC,,,
0F395NSFRYMYZA56ZDVNQ7YCF6,28.26,2301481,2022-08-15 10:53:13 UTC,,,
0F395PBS7JSKH810B7JYQFT47N,28.26,2301481,2022-08-15 10:54:13 UTC,,,
0F395PY72BTYBENY0K5BKS8BBT,28.24,2301481,2022-08-15 10:55:13 UTC,,,
0F395QGFYNZANN6AN5WB8D0V2R,28.25,2301481,2022-08-15 10:56:13 UTC,,,
0F395R2SF6DNFR7X1A5KP4C4G1,28.25,2301481,2022-08-15 10:57:13 UTC,,,
0F395RN2A90F6HZM3V6VX48D9J,28.21,2301481,2022-08-15 10:58:13 UTC,,,
0F395S7FZBHWYG5Y62N169ES6H,28.24,2301481,2022-08-15 10:59:14 UTC,,,
0F395SSRZVAAMZJ0J454W14ZZ1,28.23,2301481,2022-08-15 11:00:13 UTC,,,
0F395TC2561K5RSXP1TB9RBB6G,28.24,2301481,2022-08-15 11:01:13 UTC,,,
0F395TYB3ZRNJJH3DN31FC6TZV,28.23,2301481,2022-08-15 11:02:13 UTC,,,
0F395VGMERSC5T3C45A18G1VB7,28.22,2301481,2022-08-15 11:03:13 UTC,,,
0F395W32HMEDQS9PXVXKW7SVBS,28.22,2301481,2022-08-15 11:04:14 UTC,,,
0F395WNB7GSEG9WAC88AQ4V415,28.18,2301481,2022-08-15 11:05:14 UTC,,,
0F395X7MAE3623TBJH83P36A06,28.18,2301481,2022-08-15 11:06:13 UTC,,,
0F395XSX9CTZ8HVNFHA9D8W4P1,28.21,2301481,2022-08-15 11:07:13 UTC,,,
0F395YCBRE6GQC0Q31QDMVAKGB,28.24,2301481,2022-08-15 11:08:14 UTC,,,
0F395YYMASH5A35G133D6GQ3TD,28.25,2301481,2022-08-15 11:09:14 UTC,,,
0F395ZGYFBXP7T6KPZ9JQ96SHF,28.25,2301481,2022-08-15 11:10:14 UTC,,,
0F396036NA3TFJV2Q60Q823X27,28.25,2301481,2022-08-15 11:11:13 UTC,,,
0F3960NFTNVXH5B595QT485S9F,28.26,2301481,2022-08-15 11:12:13 UTC,,,
0F39617XRV01N1PBNGN6JYCZP9,28.27,2301481,2022-08-15 11:13:14 UTC,,,
0F3961T6TWS6T80F84MX32ZFDV,28.28,2301481,2022-08-15 11:14:14 UTC,,,
0F3962CFSTH7FPY38RYH34DWGN,28.27,2301481,2022-08-15 11:15:14 UTC,,,
0F3962YRS7DG95XH53EB1BKJJ2,28.26,2301481,2022-08-15 11:16:14 UTC,,,
0F3963H70YHSYQBSXCNX1MG9TS,28.26,2301481,2022-08-15 11:17:14 UTC,,,
0F39643FW5KBM6SK8T8Y24Y8FW,28.28,2301481,2022-08-15 11:18:14 UTC,,,
0F3964NRWD8MVPGEZP67TW0TF4,28.29,2301481,2022-08-15 11:19:14 UTC,,,
0F39658241XCX2CKF0KB6EKR5P,28.28,2301481,2022-08-15 11:20:14 UTC,,,
0F3965TBB8KHNZP8085CE8DH3N,28.31,2301481,2022-08-15 11:21:14 UTC,,,
0F3966CS7W6HFZKMV502J6QX5T,28.31,2301481,2022-08-15 11:22:14 UTC,,,
0F3966Z24442HXGZMSEVM4P1ME,28.31,2301481,2022-08-15 11:23:14 UTC,,,
0F3967HBKEB28DMKCK38YM7T81,28.33,2301481,2022-08-15 11:24:14 UTC,,,
0F39683M4XX2KGXSS7BGA8MH0F,28.36,2301481,2022-08-15 11:25:14 UTC,,,
0F3968P26W3YAN6CB108BF5F5W,28.31,2301481,2022-08-15 11:26:14 UTC,,,
0F39698B9QZ7MWE0EXDW4PSE3C,28.3,2301481,2022-08-15 11:27:14 UTC,,,
0F3969TM7DF3WJ5K1Q5A0WMQF7,28.31,2301481,2022-08-15 11:28:14 UTC,,,
0F396ACXCMJGX5A89XTA7V5VH2,28.3,2301481,2022-08-15 11:29:14 UTC,,,
0F396AZB6624FC5K4BC7VMWH0F,28.31,2301481,2022-08-15 11:30:14 UTC,,,
0F396BHMSP1AYA66FDJGR02T2X,28.33,2301481,2022-08-15 11:31:14 UTC,,,
0F396C3XQ7ASKJDX8AKMSKSRMW,28.33,2301481,2022-08-15 11:32:14 UTC,,,
0F396CP6C1AGDBD3JS0RHV1DR7,28.31,2301481,2022-08-15 11:33:14 UTC,,,
0F396D8FMEYF3F2NYR32EXDW80,28.28,2301481,2022-08-15 11:34:14 UTC,,,
0F396DTXK2KVVW7ECC8PFZ36E4,28.29,2301481,2022-08-15 11:35:14 UTC,,,
0F396ED6RP13RBJC1GKPDVPR7T,28.3,2301481,2022-08-15 11:36:14 UTC,,,
0F396EZFWGJ1JFCQRQ1H80Q98M,28.31,2301481,2022-08-15 11:37:14 UTC,,,
0F396FHRZR5SXRVK2YER2T38KB,28.31,2301481,2022-08-15 11:38:14 UTC,,,
0F396G470ST2R0DNGD93EGRGA3,28.34,2301481,2022-08-15 11:39:15 UTC,,,
0F396GPFZD18JEVPNCBKZYWCRB,28.33,2301481,2022-08-15 11:40:14 UTC,,,
0F396H8RYXGHE7DWVKCCBDRD44,28.32,2301481,2022-08-15 11:41:14 UTC,,,
0F396HVH6P44CJ0YAYWGT501Q4,28.34,2301481,2022-08-15 11:42:16 UTC,,,
0F396JDAZ7GQXJ4ZN0M0J5949S,28.31,2301481,2022-08-15 11:43:14 UTC,,,
0F396JZS28TDB178Z9P0M8YYES,28.32,2301481,2022-08-15 11:44:15 UTC,,,
0F396KJ21MN0DPDXGW9E4RZZQY,28.31,2301481,2022-08-15 11:45:14 UTC,,,
0F396M4B21JNYQGNZ6Q7GZAP7R,28.32,2301481,2022-08-15 11:46:14 UTC,,,
0F396MPM90W7FACTXZPH15GERD,28.34,2301481,2022-08-15 11:47:14 UTC,,,
0F396N922YV7EDK57PM42WWBV7,28.34,2301481,2022-08-15 11:48:15 UTC,,,
0F396NVB5XWGKC1TY6HZRV344J,28.37,2301481,2022-08-15 11:49:15 UTC,,,
0F396PDMAGHHAW7TVAKKE85Q5W,28.38,2301481,2022-08-15 11:50:15 UTC,,,
0F396PZXEVY2AAPSNZHEPPCA53,28.36,2301481,2022-08-15 11:51:14 UTC,,,
0F396QJ67RBBHXCXPCKVNH22PH,28.38,2301481,2022-08-15 11:52:14 UTC,,,
0F396R4MGMMD3PJC23VKMWYH9H,28.4,2301481,2022-08-15 11:53:15 UTC,,,
0F396RPXRJ85CBX8VCCPVPXFP0,28.42,2301481,2022-08-15 11:54:15 UTC,,,
0F396S972S4345S5KZ3111NHD2,28.42,2301481,2022-08-15 11:55:15 UTC,,,
0F396SVFHPYYZKMCQBBTAKTS59,28.42,2301481,2022-08-15 11:56:14 UTC,,,
0F396TDXFBFZTE42KA35PC1PG6,28.43,2301481,2022-08-15 11:57:15 UTC,,,
0F396V06ZEHF2911E4DC0DPGGS,28.43,2301481,2022-08-15 11:58:15 UTC,,,
0F396VJFVPJ59PFKZWV79VXTQ1,28.44,2301481,2022-08-15 11:59:15 UTC,,,
0F396W4RHTZ2NH7JW76CPMAFSW,28.41,2301481,2022-08-15 12:00:15 UTC,,,
0F396WQ1ZKJRE7QYVENZZGCN74,28.42,2301481,2022-08-15 12:01:15 UTC,,,
0F396X9FTCSW3XN0BXTEVPMG2Y,28.44,2301481,2022-08-15 12:02:15 UTC,,,
0F396XVRYFBAKGJ6F26GTY1KGD,28.45,2301481,2022-08-15 12:03:15 UTC,,,
0F396YEHXGGZJMWDX3FR27BW2H,28.46,2301481,2022-08-15 12:04:16 UTC,,,
0F396Z0AX2RJ8FZD99SAHMDPM9,28.47,2301481,2022-08-15 12:05:15 UTC,,,
0F396ZJS6893HJYE6XZD901S9M,28.46,2301481,2022-08-15 12:06:15 UTC,,,
0F39705HTQ97W68VRK80XMEEBF,28.48,2301481,2022-08-15 12:07:17 UTC,,,
0F3970QT3KZ9H77ZEBTA2WY4NF,28.5,2301481,2022-08-15 12:08:16 UTC,,,
0F39719MC5M0GJAF37PBC9RW47,28.52,2301481,2022-08-15 12:09:15 UTC,,,
0F3971WGZ1MN47V07214V2C2KM,28.48,2301481,2022-08-15 12:10:17 UTC,,,
0F3972EBC7TJ1MR8WZE7KRAW5D,28.46,2301481,2022-08-15 12:11:15 UTC,,,
0F39730MJTPM36M7HR69BDJ11H,28.45,2301481,2022-08-15 12:12:15 UTC,,,
0F3973JXBA6JRR6S7GK5P6SAJ1,28.4,2301481,2022-08-15 12:13:15 UTC,,,
0F397457PGPKT9P959MQFJ4R2Y,28.4,2301481,2022-08-15 12:14:15 UTC,,,
0F3974QMH1EK0HQPQNJ82VWCAP,28.39,2301481,2022-08-15 12:15:15 UTC,,,
