id,value,feed_id,created_at,lat,lon,ele
0F3CMGBMAWP356J7J9NHR3VB1Q,28.00458,2303967,2022-08-19 18:11:18 UTC,,,
0F3CMGXYKQZGXX3G41SX81RDGD,28.24628,2303967,2022-08-19 18:12:18 UTC,,,
0F3CMHG6WF0DX6HX33M6JNHJFQ,28.00458,2303967,2022-08-19 18:13:17 UTC,,,
0F3CMJ2FDR2MNN8QHNGC3WRBQ6,28.08514,2303967,2022-08-19 18:14:17 UTC,,,
0F3CMJMRP0G58SZ37GNHCH76D1,28.16571,2303967,2022-08-19 18:15:17 UTC,,,
0F3CMK76EN250NZXY015MPM2GW,28.08514,2303967,2022-08-19 18:16:18 UTC,,,
0F3CMKSGAM9R93KY228VWBH8JF,27.68231,2303967,2022-08-19 18:17:18 UTC,,,
0F3CMMBRGB9NB6M7S5CEBR59W9,27.76287,2303967,2022-08-19 18:18:17 UTC,,,
0F3CMMY20V3H4763KC5Y390G1R,27.84344,2303967,2022-08-19 18:19:17 UTC,,,
0F3CMNGBABM4854NFFQ166Y4Q5,27.84344,2303967,2022-08-19 18:20:17 UTC,,,
0F3CMP2RZQZZX00WBTXET4MTC7,27.92401,2303967,2022-08-19 18:21:18 UTC,,,
0F3CMPN1QAJWPPZCZTMYA4NTE8,27.76287,2303967,2022-08-19 18:22:18 UTC,,,
0F3CMQ7B3XDGZNJZBN4ATAPTYX,27.84344,2303967,2022-08-19 18:23:18 UTC,,,
0F3CMQSMECB9CX5QTVZHHN3HMX,27.84344,2303967,2022-08-19 18:24:17 UTC,,,
0F3CMRBX5GZH423X48BVWH4SKH,27.84344,2303967,2022-08-19 18:25:17 UTC,,,
0F3CMRY6BZVX12SN6YY8D6FDG8,27.76287,2303967,2022-08-19 18:26:17 UTC,,,
0F3CMSGM8R48YXR8N85S0KJ0XJ,27.68231,2303967,2022-08-19 18:27:18 UTC,,,
0F3CMT2X5RYC7N3E4AAKV82H5Z,27.44061,2303967,2022-08-19 18:28:18 UTC,,,
0F3CMTPK1WHXNHNESXMQ6792YZ,27.76287,2303967,2022-08-19 18:29:22 UTC,,,
0F3CMV7FAXSCMG4YCXN7G4YSWH,27.36003,2303967,2022-08-19 18:30:17 UTC,,,
0F3CMVSRJ6H5HZX9H8KY75CEEA,27.68231,2303967,2022-08-19 18:31:17 UTC,,,
0F3CMWC67M1FQVHRSQPDC1EGXF,27.44061,2303967,2022-08-19 18:32:18 UTC,,,
0F3CMWYFG6QWPQFNQ9QCG5ZMG4,27.68231,2303967,2022-08-19 18:33:18 UTC,,,
